,DateTime,players,viewers,event,%chg_players,%chg_viewers
0,2015-01-01,443188,0,No,,
1,2015-01-02,383943,0,No,-0.1336791609881134,
2,2015-01-03,398639,0,No,0.03827651500352913,
3,2015-01-04,389040,0,No,-0.02407943026146464,
4,2015-01-05,376364,0,No,-0.03258276783878267,
5,2015-01-06,376364,0,No,0.0,
6,2015-01-07,375622,0,No,-0.00197149567971433,
7,2015-01-08,440458,0,No,0.17260969804750514,
8,2015-01-09,443991,0,No,0.00802119611858565,
9,2015-01-10,443991,0,No,0.0,
10,2015-01-11,384553,0,No,-0.13387208299267328,
11,2015-01-12,386492,0,No,0.005042217847734953,
12,2015-01-13,382747,0,No,-0.009689721908862303,
13,2015-01-14,381328,0,No,-0.0037074098555964774,
14,2015-01-15,405872,0,No,0.06436453656694496,
15,2015-01-16,442871,0,No,0.09115928174399812,
16,2015-01-17,442380,0,No,-0.0011086749866213719,
17,2015-01-18,377789,0,No,-0.14600795696007962,
18,2015-01-19,391559,0,No,0.03644891725275223,
19,2015-01-20,380689,0,No,-0.027760822762342374,
20,2015-01-21,379248,0,No,-0.003785242021702717,
21,2015-01-22,399062,0,No,0.05224549635067288,
22,2015-01-23,430861,0,No,0.07968435982378685,
23,2015-01-24,423350,0,No,-0.017432536247188768,
24,2015-01-25,371266,0,No,-0.12302822723514817,
25,2015-01-26,360648,0,No,-0.02859944083217958,
26,2015-01-27,385217,0,No,0.06812459794591952,
27,2015-01-28,380640,0,No,-0.011881614778163962,
28,2015-01-29,397712,0,No,0.044850777637662986,
29,2015-01-30,437368,0,No,0.09971034316289185,
30,2015-01-31,434024,0,No,-0.007645735399023246,
31,2015-02-01,455508,0,No,0.049499566844229737,
32,2015-02-02,384373,0,No,-0.15616630223838002,
33,2015-02-03,346986,0,No,-0.09726749797722523,
34,2015-02-04,374310,0,No,0.07874669295014791,
35,2015-02-05,401791,0,No,0.07341775533648587,
36,2015-02-06,401791,0,No,0.0,
37,2015-02-07,401791,0,No,0.0,
38,2015-02-08,401791,0,No,0.0,
39,2015-02-09,401791,0,No,0.0,
40,2015-02-10,159873,0,No,-0.6020991012740455,
41,2015-02-11,103924,0,No,-0.3499590299800467,
42,2015-02-12,103924,0,No,0.0,
43,2015-02-13,419184,0,No,3.033562988337631,
44,2015-02-14,431744,0,No,0.02996297568609485,
45,2015-02-15,384755,0,No,-0.10883532834272158,
46,2015-02-16,0,0,No,-1.0,
47,2015-02-17,398868,0,No,inf,
48,2015-02-18,395553,0,No,-0.008311020187129592,
49,2015-02-19,423817,0,No,0.07145439422782784,
50,2015-02-20,442763,0,No,0.04470325635828676,
51,2015-02-21,454373,0,No,0.02622170325885409,
52,2015-02-22,406052,0,No,-0.10634654788026576,
53,2015-02-23,400112,0,No,-0.0146286682493868,
54,2015-02-24,337230,0,No,-0.157160994921422,
55,2015-02-25,0,0,No,-1.0,
56,2015-02-26,0,0,No,,
