,DateTime,players,viewers,event,%chg_players,%chg_viewers,title
0,2015-01-01,961737,0,No,,,DOTA 2
1,2015-01-02,878508,0,No,-0.08654029116068118,,DOTA 2
2,2015-01-03,835544,0,No,-0.04890564457011204,,DOTA 2
3,2015-01-04,770788,0,No,-0.07750160374558368,,DOTA 2
4,2015-01-05,844391,0,No,0.09549058885192818,,DOTA 2
5,2015-01-06,641040,0,No,-0.24082563646462363,,DOTA 2
6,2015-01-07,870048,0,No,0.35724447772369894,,DOTA 2
7,2015-01-08,911376,0,No,0.04750082754054952,,DOTA 2
8,2015-01-09,961580,0,No,0.0550859359912923,,DOTA 2
9,2015-01-10,906632,0,No,-0.05714345140289945,,DOTA 2
10,2015-01-11,820956,0,No,-0.09449920144005508,,DOTA 2
11,2015-01-12,810767,0,No,-0.012411140182908675,,DOTA 2
12,2015-01-13,700680,0,No,-0.1357813033830928,,DOTA 2
13,2015-01-14,819856,0,No,0.17008620197522406,,DOTA 2
14,2015-01-15,846903,0,No,0.032989939696727255,,DOTA 2
15,2015-01-16,918330,0,No,0.08433905653894258,,DOTA 2
16,2015-01-17,867482,0,No,-0.055370073938562414,,DOTA 2
17,2015-01-18,794596,0,No,-0.08402018716238491,,DOTA 2
18,2015-01-19,779020,0,No,-0.019602414308654947,,DOTA 2
19,2015-01-20,789035,0,No,0.01285589586916891,,DOTA 2
20,2015-01-21,803806,0,No,0.018720335599814897,,DOTA 2
21,2015-01-22,860424,0,No,0.07043739409758065,,DOTA 2
22,2015-01-23,918844,0,No,0.0678967578775116,,DOTA 2
23,2015-01-24,899373,0,No,-0.021190757081724465,,DOTA 2
24,2015-01-25,795036,0,No,-0.11601082087187409,,DOTA 2
25,2015-01-26,799664,0,No,0.005821120049909645,,DOTA 2
26,2015-01-27,799664,0,No,0.0,,DOTA 2
27,2015-01-28,845424,0,No,0.05722403409431953,,DOTA 2
28,2015-01-29,911684,0,No,0.07837487461912596,,DOTA 2
29,2015-01-30,967892,0,No,0.06165294115066189,,DOTA 2
30,2015-01-31,946322,0,No,-0.02228554425493756,,DOTA 2
31,2015-02-01,1262612,0,No,0.33423084320136276,,DOTA 2
32,2015-02-02,823464,0,No,-0.34780914485210024,,DOTA 2
33,2015-02-03,822106,0,No,-0.0016491309881184746,,DOTA 2
34,2015-02-04,849207,0,No,0.032965335370378046,,DOTA 2
35,2015-02-05,843125,0,No,-0.007161975819794275,,DOTA 2
36,2015-02-06,639451,0,No,-0.24157034840622682,,DOTA 2
37,2015-02-07,639451,0,No,0.0,,DOTA 2
38,2015-02-08,639451,0,No,0.0,,DOTA 2
39,2015-02-09,639451,0,No,0.0,,DOTA 2
40,2015-02-10,490132,0,No,-0.23351124636602338,,DOTA 2
41,2015-02-11,490132,0,No,0.0,,DOTA 2
42,2015-02-12,490132,0,No,0.0,,DOTA 2
43,2015-02-13,1075464,0,No,1.1942333901887654,,DOTA 2
44,2015-02-14,1059384,0,No,-0.014951685969962769,,DOTA 2
45,2015-02-15,986689,0,No,-0.0686200660006192,,DOTA 2
46,2015-02-16,0,0,No,-1.0,,DOTA 2
47,2015-02-17,696702,0,No,inf,,DOTA 2
48,2015-02-18,1195170,0,No,0.7154680193253355,,DOTA 2
49,2015-02-19,1179958,0,No,-0.012727896449877374,,DOTA 2
50,2015-02-20,1227193,0,No,0.04003108585220838,,DOTA 2
51,2015-02-21,1263992,0,No,0.029986318370460063,,DOTA 2
52,2015-02-22,1193305,0,No,-0.05592361344059138,,DOTA 2
53,2015-02-23,1174502,0,No,-0.015757078031182314,,DOTA 2
54,2015-02-24,626977,0,No,-0.4661763028074878,,DOTA 2
55,2015-02-25,0,0,No,-1.0,,DOTA 2
56,2015-02-26,0,0,No,,,DOTA 2
57,2015-02-27,0,0,No,,,DOTA 2
58,2015-02-28,0,0,No,,,DOTA 2
59,2015-03-01,1213940,0,No,inf,,DOTA 2
60,2015-03-02,0,0,No,-1.0,,DOTA 2
61,2015-03-03,0,0,No,,,DOTA 2
62,2015-03-04,0,0,No,,,DOTA 2
63,2015-03-05,0,0,No,,,DOTA 2
64,2015-03-06,0,0,No,,,DOTA 2
65,2015-03-07,0,0,No,,,DOTA 2
66,2015-03-08,0,0,No,,,DOTA 2
67,2015-03-09,0,0,No,,,DOTA 2
68,2015-03-10,0,0,No,,,DOTA 2
69,2015-03-11,0,0,No,,,DOTA 2
